author_id,sentence
1,ESSAY WRITINGQ1
1,Essay-1:1
1,Helping the people if we are in high position is very great
1, My favourite movie is Srimanthudu
1, In this movie some of the staff of hero’s company invites him and his family for the celebrations of Sri Rama Navami but hero’s father refuses to go to their celebrations because he arranged another party at his home
1, Hero alone goes to the celebration and attend the celebrations of their staff and wins their heart
1, In this movie hero takes all the responsibilities of his village and develops his home town without any help from the government and not expecting anything from the people
1, So I liked the movie
1, In this movie the screenplay and taking is very good
1, In this film he shows the character of hero in a different way i
1,e
1, his eagerness to develop his home town
1,2
1,The second movie I like is Despicable Me
1, It is an animated movie
1, In this movie he shows a very different technology
1, In this movie the hero wants to be a great villain by stealing anything great
1, At first the Pyramid is being stolen by another villain
1, Then hero will get disappointed and plans to steal the Moon
1, In the process of stealing the moon he came across three little girls and adopt them
1, These girls turns the hero from a great villain to a great father
1, He meet the girls when he want to steal a thing from the villain
1, In this movie the thing I liked the most is the minions who are employees in the hero’s secret lab
1,Q2
1,Essay-1:Travelling helps to come closer to who we really are
1, So I love travelling
1, The places I like to go are the hill stations
1, I like to go to Ladakh which is situated in the state of Jammu and Kashmir
1, The place is surrounded by the mountain ranges and valleys
1, The weather over there is very cool and pleasant
1, The place has the Baltistan valleys and the entire upper Indus valley and many more are present in Ladakh range
1, In Ladakh region different types of people live
1, Some are the Muslims and some are Buddhists 
1,The culture in that region is very different
1, Many festivals are celebrated over there
1, The main festival is Hemis festival which is celebrated in the month of June to commemorate the birth of Guru Padmasambhava
1, The music is also very different
1, The music instruments include surna and dhaman
1, On the day of festival they sing and dance and enjoys the festival together
1, The things I like in Ladakh are the rock carving the hills mountains and valleys and the vegetation
1, In this place they melt the snow and construct long channels cutting the granite mountains and gravel slopes
1, So I like to travel to Ladakh
1,Essay-2:Playing and studying are both important to the children to develop their personality
1, If children focusses only on studying then they will not get physically fit
1, Playing is the way to relieve stress
1, So it is very important
1, So the school should not extend the school should not extend the timings
1, At the small age if the children are made to study always then the children are stresses and they cannot focus on one work
1, Paying is essential for development because it contributes to the cognitive physical social and emotional well-being of the children
1, It also provides opportunity for parents to engage with their children
1, It also give many friends to the children
1, In olden days the children like to play
1, Now-a-days the children are addicted to the electronic gadgets due to which the children are mentally disturbed
1, Their min is not properly developed and are facing many problems
1, They are not physically fit
1, So due to the above reasons the school should not extend the time for studying
1, If they want to extend the school timings then they have to provide some time for the children to play
1, So that the children does not get stressed
1,
1,Q
1, Make the sentences more concise:1
1, We certainly hope this decision won’t have a negative impact on the reputation of our firm
1,We hope the decision won’t have a negative impact on firm reputation
1,2
1, Basically what the training program is going to do is prepare each and every one of the participants for their certification test that they will take soon
1,The training program prepares every participant for their certification test3
1, Could you recommend to us someone in the area who works as a contractor?Could you recommend us a contractor
1,4
1, There is a possibility that I might get together with some of the people in my MBA program this weekend
1,I might get together with some people in my MBA program this weekend
1,5
1, She is professional courteous and she always comes to work on time
1,She is professional courteous and come to work in time
1,6
1, The problem was addressed at our meeting that we have every week
1,The problem was addressed at our weekly meeting
1,7
